smiles,±Í«©,Caspase-3/7 HepG2,CYP1A2 Antag,CYP2C19 Antag,CYP2C9 Antag,CYP3A4 Antag,CYP3A7 Antag,ARE Agon,Mito Membrane Disrupt,ER Stress,ER-beta Agon,PPARg Agon,RAR Agon,ERR Antag,GR Antag,PPARd Antag,PPARg Antag,TR Antag,MDR-1,HPGD Inhib
C1=NC2=C(N1COCCO)N=C(NC2=O)N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,1,,,,,,1,,,,,,,,,,,,,
C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
C1=NNC2=C1C(=O)NC=N2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,1,1,0,1,1,0,1,0,0,,0,,,1,,,,,,0
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,1,,,,,,1,,,,,,,,,,,,,0
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1,,,,,,,,,,,,,,,,,,,0
CC(=O)OC1=CC=CC=C1C(=O)O,1,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,0,,0
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,1,,,,,,,,,,,,,,,,,,,
COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,1,,,,,,,,,,,,,,,,,,,
CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,1,0,0,1,1,1,,1,1,0,0,,0,,,0,0,,,
CC(CS)C(=O)N1CCCC1C(=O)O,1,0,0,1,,0,,0,0,,0,0,0,0,,,0,0,,0
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1,0,,1,,,0,0,0,0,0,0,0,,,0,0,0,,0
C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],1,0,1,1,1,0,,1,,0,0,,0,0,,0,0,,,
CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],1,,,,,,,,,,,,,,,,,,,
N.N.Cl[Pt]Cl,1,,,,,,,,,,,,,,,,,,,
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,1,,1,1,0,0,1,,0,0,0,,,,0,,,,,0
CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,1,,,,,,,,,,,,,,,,,,,
C1=CC2=C(C=C1Cl)NC(=O)O2,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,,0,0,1,0
C(C(CS)S)O,0,,,,,,1,,0,,,,,,1,,,,,
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0,0,,1,,0,0,1,0,0,0,,0,0,,,,,0,0
CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C4CCCN4C(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(C(C)C)NC(=O)C(CCCCN)NC(=O)C(C(C)C)NC(=O)C6CCCN6C(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(C(C)C)NC(=O)C7CCCN7C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC8=CNC9=CC=CC=C98)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CO)N,0,,,,,,,,,,,,,,,,,,,
CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1,1,0,,0,,1,,0,1,0,,,0,,1,,,,0
CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,0,,,,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1,,,,,,,,,,,,,,,,,,,
C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],1,,,,,,,,,,,,,,,,,,,
